LocalObservationDateTime,WeatherText,HasPrecipitation,IsDayTime,Temperature(C),Temperature(F),RealFeelTemperature(C),RealFeelTemperature(F),RealFeelTemperatureShade(C),RealFeelTemperatureShade(F),RelativeHumidity,IndoorRelativeHumidity,DewPoint(C),DewPoint(F),WindDirection(Degrees),WindDirection(Text),WindSpeed(km/h),WindSpeed(mi/h),WindGustSpeed(km/h),WindGustSpeed(mi/h),UVIndex,UVIndexText,Pressure(mb),Pressure(inHg),ApparentTemperature(C),ApparentTemperature(F),WindChillTemperature(C),WindChillTemperature(F)
2021-10-12T13:55:00-05:00,Mostly sunny,False,True,25.8,78.0,27.8,82.0,24.6,76.0,39,39,11.0,52.0,180,S,7.4,4.6,10.2,6.4,3,Moderate,1024.4,30.25,25.6,78.0,25.6,78.0
2021-10-12T13:55:00-05:00,Mostly sunny,False,True,25.8,78.0,27.8,82.0,24.6,76.0,39,39,11.0,52.0,180,S,7.4,4.6,10.2,6.4,3,Moderate,1024.4,30.25,25.6,78.0,25.6,78.0
2021-10-12T14:20:00-05:00,Partly sunny,False,True,26.6,80.0,31.0,88.0,25.4,78.0,37,37,11.0,52.0,180,S,7.4,4.6,10.2,6.4,7,High,1023.4,30.22,26.7,80.0,26.7,80.0
2021-10-12T14:35:00-05:00,Mostly sunny,False,True,26.6,80.0,30.0,86.0,25.2,77.0,36,36,10.6,51.0,180,S,10.0,6.2,12.6,7.8,6,High,1023.4,30.22,26.1,79.0,26.7,80.0
2021-10-12T14:55:00-05:00,Partly sunny,False,True,26.6,80.0,30.2,86.0,25.2,77.0,36,36,10.6,51.0,180,S,10.0,6.2,12.6,7.8,7,High,1023.4,30.22,26.1,79.0,26.7,80.0
2021-10-12T15:10:00-05:00,Mostly sunny,False,True,27.1,81.0,29.5,85.0,25.7,78.0,35,35,10.6,51.0,180,S,10.0,6.2,12.6,7.8,5,Moderate,1022.0,30.18,26.7,80.0,27.2,81.0
2021-10-12T15:20:00-05:00,Mostly sunny,False,True,27.1,81.0,29.5,85.0,25.7,78.0,35,35,10.6,51.0,180,S,10.0,6.2,12.6,7.8,5,Moderate,1022.0,30.18,26.7,80.0,27.2,81.0
2021-10-12T15:35:00-05:00,Partly sunny,False,True,27.1,81.0,25.7,78.0,24.0,75.0,37,37,11.3,52.0,180,S,12.0,7.4,15.2,9.4,2,Low,1022.0,30.18,26.7,80.0,27.2,81.0
2021-10-12T15:55:00-05:00,Mostly sunny,False,True,27.1,81.0,27.4,81.0,24.0,75.0,37,37,11.3,52.0,180,S,12.0,7.4,15.2,9.4,5,Moderate,1022.0,30.18,26.7,80.0,27.2,81.0
2021-10-12T16:10:00-05:00,Mostly sunny,False,True,27.6,82.0,26.9,80.0,24.4,76.0,36,36,11.3,52.0,180,S,12.0,7.4,15.2,9.4,3,Moderate,1021.0,30.15,27.2,81.0,27.8,82.0
2021-10-12T16:20:00-05:00,Partly sunny,False,True,27.4,81.0,26.8,80.0,25.9,79.0,32,32,9.2,49.0,180,S,11.1,6.9,15.2,9.4,1,Low,1021.0,30.15,26.7,80.0,27.2,81.0
2021-10-12T16:55:00-05:00,Partly sunny,False,True,27.4,81.0,26.8,80.0,25.9,79.0,32,32,9.2,49.0,180,S,11.1,6.9,15.4,9.6,1,Low,1021.0,30.15,26.7,80.0,27.2,81.0
2021-10-12T17:10:00-05:00,Mostly sunny,False,True,26.7,80.0,26.8,80.0,25.2,77.0,33,33,9.2,49.0,180,S,11.1,6.9,15.4,9.6,2,Low,1020.3,30.13,26.1,79.0,26.7,80.0
2021-10-12T17:20:00-05:00,Mostly sunny,False,True,26.7,80.0,26.8,80.0,25.2,77.0,33,33,9.2,49.0,180,S,11.1,6.9,15.4,9.6,2,Low,1020.3,30.13,26.1,79.0,26.7,80.0
